Id;Year;Month;Day;TSU;EQ;Name;Location;Country;Latitude;Longitude;Elevation;Type;Status;Time;VEI;Agent;DEATHS;DEATHS_DESCRIPTION;MISSING;MISSING_DESCRIPTION;INJURIES;INJURIES_DESCRIPTION;DAMAGE_MILLIONS_DOLLARS;DAMAGE_DESCRIPTION;HOUSES_DESTROYED;HOUSES_DESTROYED_DESCRIPTION;TOTAL_DEATHS;TOTAL_DEATHS_DESCRIPTION;TOTAL_MISSING;TOTAL_MISSING_DESCRIPTION;TOTAL_INJURIES;TOTAL_INJURIES_DESCRIPTION;TOTAL_DAMAGE_MILLIONS_DOLLARS;TOTAL_DAMAGE_DESCRIPTION;TOTAL_HOUSES_DESTROYED;TOTAL_HOUSES_DESTROYED_DESCRIPTION
165;1717;8;27;;;Fuego;Guatemala;Guatemala;14.473;-90.88;3763;Stratovolcano;Historical;D1;3;;;;;;;;;1;;;;;;;;;;1;;
166;1718;2;1;;;Pico;Azores;Portugal;38.47;-28.4;2351;Stratovolcano;Historical;D4;2;;2;1;;;;;;;;;2;1;;;;;;;;
167;1721;5;11;;;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;Historical;D2;5;;;;;;;;;1;;;;;;;;;;1;;
168;1721;6;22;;;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex volcano;Historical;D1;1;T;15;1;;;;;;;;;15;1;;;;;;;;
169;1726;2;1;;;Bardarbunga;Iceland-NE;Iceland;64.63;-17.53;2000;Stratovolcano;Historical;D2;1;;;;;;;;;1;;;;;;;;;;1;;
170;1727;8;3;;;Oraefajokull;Iceland-SE;Iceland;64;-16.65;2119;Stratovolcano;Historical;D4;4;F;3;1;;;;;;;;;3;1;;;;;;;;
171;1729;2;1;;;Bardarbunga;Iceland-NE;Iceland;64.63;-17.53;2000;Stratovolcano;Historical;D2;1;;;;;;;;;1;;;;;;;;;;1;;
172;1729;6;30;;;Krafla;Iceland-NE;Iceland;65.73;-16.78;650;Caldera;Historical;D1;2;;;;;;;;;1;;;;;;;;;;1;;
173;1730;9;1;;;Lanzarote;Canary Is;Spain;29.03;-13.63;670;Fissure vent;Historical;D3;2;;;1;;;;;;;;;;1;;;;;;;;
174;1730;;;;;Raung;Java;Indonesia;-8.125;114.042;3332;Stratovolcano;Historical;D1;3;M,T;;2;;;;;;;;;;2;;;;;;;;
175;1730;;;;;Tseax River Cone;Canada;Canada;55.12;-128.9;609;Pyroclastic cone;Radiocarbon;D4;;G;;1;;;;;;;;;;1;;;;;;;;
176;1737;5;20;;;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;Historical;D2;2;T;2;1;;;;;;2;;;2;1;;;;;;2;;
177;1741;8;23;TSU;;Oshima-Oshima;Hokkaido-Japan;Japan;41.5;139.37;737;Stratovolcano;Historical;D4;4;W,S;;;;;;;;;;;2000;4;;;;;;3;871;3
178;1742;6;15;;;Cotopaxi;Ecuador;Ecuador;-0.677;-78.436;5911;Stratovolcano;Historical;D2;3;M;;3;;;;;;3;;;;3;;;;;;3;;
179;1742;12;9;;;Cotopaxi;Ecuador;Ecuador;-0.677;-78.436;5911;Stratovolcano;Historical;D2;3;M;;3;;;;;;3;;;;3;;;;;;3;;
180;1749;8;11;TSU;EQ;Taal;Luzon-Philippines;Philippines;14.002;120.993;400;Stratovolcano;Historical;D1;3;;;1;;;;;;1;;;;1;;;;;;3;;3
181;1753;10;15;;;Grimsvotn;Iceland-NE;Iceland;64.42;-17.33;1725;Caldera;Historical;D1;2;;;;;;;;;1;;;;;;;;;;1;;
182;1754;5;13;TSU;EQ;Taal;Luzon-Philippines;Philippines;14.002;120.993;400;Stratovolcano;Historical;D1;4;W,T;12;1;;;;;;4;;4;12;1;;;;;;4;;4
183;1755;10;17;;;Katla;Iceland-S;Iceland;63.63;-19.05;1512;Subglacial volcano;Historical;D2;4;E;2;1;;;;;;;;;2;1;;;;;;;;
184;1757;7;9;;EQ;San Jorge;Azores;Portugal;38.65;-28.08;1053;Fissure vent;Historical;D2;0;S;;;;;;;;;;;1053;4;;;;;;3;;4
185;1760;;;;;Makian;Halmahera-Indonesia;Indonesia;0.32;127.4;1357;Stratovolcano;Historical;D1;4;M;2000;4;;;;;;;;;2000;4;;;;;;;;
186;1762;;;;;Kliuchevskoi;Kamchatka;Russia;56.057;160.638;4835;Stratovolcano;Historical;D1;2;;;1;;;;;;;;;;1;;;;;;;;
187;1766;4;5;;;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;Historical;D1;4;;;;;;;;;1;;;;;;;;;;1;;
188;1766;7;20;;;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;D1;3;m;49;1;;;;;;;;;49;1;;;;;;;;
189;1768;4;4;;;Cotopaxi;Ecuador;Ecuador;-0.677;-78.436;5911;Stratovolcano;Historical;D2;4;M;;3;;;;;;3;;;;3;;;;;;3;;
190;1772;5;9;TSU;;Gamalama;Halmahera-Indonesia;Indonesia;0.8;127.325;1715;Stratovolcano;Historical;D1;3;T;35;1;;;;;;;;;35;1;;;;;;;;
191;1772;8;12;;;Papandayan;Java;Indonesia;-7.32;107.73;2665;Stratovolcano;Historical;D2;3;A;2957;4;;;;;;;;3;2957;4;;;;;;;;3
192;1773;2;2;;;Gamalama;Halmahera-Indonesia;Indonesia;0.8;127.325;1715;Stratovolcano;Historical;D1;2;I;;2;;;;;;;;;;2;;;;;;;;
193;1775;;;;;Lokon-Empung;Sulawesi-Indonesia;Indonesia;1.358;124.792;1580;Stratovolcano;Historical;D1;3;;;1;;;;;;;;;;1;;;;;;;;
194;1775;;;;;Gamalama;Halmahera-Indonesia;Indonesia;0.8;127.325;1715;Stratovolcano;Historical;D1;3;P,I;1300;4;;;;;;;;;1300;4;;;;;;;;
195;1778;;;;;Raikoke;Kuril Is;Russia;48.292;153.25;551;Stratovolcano;Historical;D2;4;T;15;1;;;;;;;;;15;1;;;;;;;;
196;1779;8;8;;;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;Historical;D2;2;;;1;;;;;;;;;;1;;;;;;;;
197;1779;11;8;;;Sakura-jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;Historical;D1;4;T,W,I;153;3;;;;;;;;;153;3;;;;;;;;
198;1780;2;9;;;Sakura-jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;Historical;D1;4;F;;3;;;;;;;;;;3;;;;;;;;
199;1780;7;27;;;Aoga-shima;Izu Is-Japan;Japan;32.45;139.77;423;Stratovolcano;Historical;D4;3;;7;1;;;;;;;;1;7;1;;;;;;;;1
200;1780;9;9;TSU;;Sakura-jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;Historical;D1;4;;;;;;;;;;;;;;;;;;;;;
201;1780;10;31;TSU;;Sakura-jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;Historical;D1;;;;;;;;;;;;;;;;;;;;;;
202;1781;4;11;TSU;;Sakura-jima;Kyushu-Japan;Japan;31.58;130.67;1117;Stratovolcano;Historical;D1;4;W;23;1;;;;;;;;;38;1;;;;;;1;;
203;1783;8;5;;;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex volcano;Historical;D1;4;F,P,I;1491;4;;;;;;;;;1491;4;;;;;;;;
204;1784;4;;;;Grimsvotn;Iceland-NE;Iceland;64.42;-17.33;1725;Caldera;Historical;D1;4;I;;;;;;;;;;;9350;4;;;;;;;;
205;1784;7;;;;Sabancaya;Peru;Peru;-15.78;-71.85;5967;Stratovolcano;Historical;D1;;;;;;;;;;1;;;;;;;;;;1;;
206;1784;;;;;Hualalai;Hawaiian Is;United States;19.692;-155.87;2523;Shield volcano;Historical;D3;0;L;;1;;;;;;;;;;1;;;;;;;;
207;1785;4;18;;;Aoga-shima;Izu Is-Japan;Japan;32.45;139.77;423;Stratovolcano;Historical;D4;3;;135;3;;;;;;;;;135;3;;;;;;;;
208;1786;;;;;Dieng Volc Complex;Java;Indonesia;-7.2;109.92;2565;Complex volcano;Historical;D1;2;A;38;1;;;;;;;;2;38;1;;;;;;;;2
209;1789;;;;;Oshima;Izu Is-Japan;Japan;34.73;139.38;758;Stratovolcano;Historical;D1;2;T;;1;;;;;;;;;;1;;;;;;;;
210;1790;11;;;;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield volcano;Historical;D1;4;P;5405;4;;;;;;;;;5405;4;;;;;;;;
211;1792;5;21;TSU;EQ;Unzen;Kyushu-Japan;Japan;32.75;130.3;1500;Complex volcano;Historical;D1;2;W,A;;1;;;;;;;;;14524;4;;;707;3;;4;6200;4
212;1794;6;15;;;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;Historical;D2;3;M,L,T,G;400;3;;;;;;3;;;400;3;;;;;;3;;
213;1800;6;24;;;San Jorge;Azores;Portugal;38.65;-28.08;1053;Fissure vent;Historical;D2;1;L;9;1;;;;;;;;;9;1;;;;;;;;
214;1800;10;8;;;Guntur;Java;Indonesia;-7.13;107.83;2249;Complex volcano;Historical;D3;;M;;3;;;;;;;;;;3;;;;;;;;
215;1800;10;30;;;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;D1;2;;;1;;;;;;;;;;1;;;;;;;;
216;1800;;;;;Hualalai;Hawaiian Is;United States;19.692;-155.87;2523;Shield volcano;Historical;D3;0;L;2;1;;;;;;;;;2;1;;;;;;;;
217;1800;;;;;Kieyo;Africa-E;Tanzania;-9.23;33.78;2175;Stratovolcano;Historical;D3;2;L;;3;;;;;;3;;;;3;;;;;;3;;
218;1800;;;;;St. Helens;US-Washington;United States;46.2;-122.18;2549;Stratovolcano;Historical;D1;5;I;;3;;;;;;;;;;3;;;;;;;;
219;1801;7;;;;Chokai;Honshu-Japan;Japan;39.08;140.03;2237;Stratovolcano;Historical;D1;2;T;8;1;;;;;;;;;8;1;;;;;;;;
220;1803;7;4;;;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex volcano;Historical;D1;2;;;1;;;;;;;;;;1;;;;;;;;
221;1803;11;7;;;Asama;Honshu-Japan;Japan;36.4;138.53;2560;Complex volcano;Historical;D1;2;;;1;;;;;;;;;;1;;;;;;;;
222;1804;;;;;Shikotsu;Hokkaido-Japan;Japan;42.7;141.33;1320;Caldera;Historical;D1;3;;;3;;;;;;;;;;3;;;;;;;;
223;1805;8;11;;;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;Historical;D2;2;;4;1;;;;;;;;;4;1;;;;;;;;
224;1812;4;27;;;Soufriere St. Vincent;W Indies;St. Vincent & the Grenadines;13.33;-61.18;1220;Stratovolcano;Historical;D1;4;T, m;56;2;;;;;;;;;56;2;;;;;;;;
225;1812;8;6;;;Awu;Sangihe Is-Indonesia;Indonesia;3.67;125.5;1320;Stratovolcano;Historical;D1;3;P,M;953;3;;;;;;;;;953;3;;;;;;;;
226;1813;5;;TSU;;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;Historical;D2;2;;;;;;;;;;;;;;;;;;;;;
227;1814;2;1;;;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;D1;4;P,M,E;1200;4;;;;;;3;;3;1200;4;;;;;;3;;3
228;1815;4;10;TSU;;Tambora;Lesser Sunda Is;Indonesia;-8.25;118;2850;Stratovolcano;Historical;D1;7;P,W,A,I;11000;4;;;;4;;4;;4;60000;4;;;;4;;4;;4
229;1816;7;5;;;Aso;Kyushu-Japan;Japan;32.88;131.1;1592;Caldera;Historical;D1;2;T;1;1;;;;;;;;;1;1;;;;;;;;
230;1817;1;24;;;Ijen;Java;Indonesia;-8.058;114.242;2799;Stratovolcano;Historical;D1;2;M;;2;;;;;;;90;2;;2;;;;;;;90;2
231;1817;;;;;Raung;Java;Indonesia;-8.125;114.042;3332;Stratovolcano;Historical;D1;4;;;1;;;;;;;;;;1;;;;;;;;
232;1818;2;5;;;Colima;Mexico;Mexico;19.514;-103.62;3850;Stratovolcano;Historical;D1;4;;;1;;;;;;;;;;1;;;;;;;;
233;1819;;;TSU;;Asuncion;Mariana Is-C Pacific;United States;19.67;145.4;857;Stratovolcano;Historical;D2;;;;;;;;;;;;;;;;;;;;;;
234;1820;3;1;TSU;EQ;Westdahl;Aleutian Is;United States;54.52;-164.65;1654;Stratovolcano;Historical;D1;2;;;;;;;;;;;;;;;;;;;;;
235;1820;6;11;;;Banda Api;Banda Sea;Pacific Ocean;-4.525;129.871;640;Caldera;Historical;D1;2;;;1;;;;;;;;;;1;;;;;;;;
236;1822;3;9;;;Usu;Hokkaido-Japan;Japan;42.53;140.83;731;Stratovolcano;Historical;D1;4;P;50;1;;;53;2;;;;2;50;1;;;53;2;;;;2
237;1822;10;8;;;Galunggung;Java;Indonesia;-7.25;108.05;2168;Stratovolcano;Historical;D1;5;P,M;4011;4;;;;;;3;;3;4011;4;;;;;;3;;3
238;1822;12;27;;;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;D1;3;;100;2;;;;2;;3;;3;100;2;;;;2;;3;;3
239;1823;2;;;;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield volcano;Historical;D1;0;L;;1;;;;;;;;;;1;;;;;;;;
240;1824;;;;;Shishaldin;Aleutian Is;United States;54.75;-163.97;2857;Stratovolcano;Historical;D1;3;;;;;;;;;;;;;;;;;;;;;
241;1825;;;;;Balbi;Bougainville-SW Paci;Papua New Guinea;-5.83;154.98;2715;Stratovolcano;Holocene;U;;P;;3;;;;;;;;;;3;;;;;;;;
242;1826;10;11;;;Dieng Volc Complex;Java;Indonesia;-7.2;109.92;2565;Complex volcano;Historical;D1;2;;;2;;;;;;;;;;2;;;;;;;;
243;1826;10;11;;;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;D1;3;M;;1;;;65;2;;3;;3;;1;;;65;2;;3;;3
244;1826;10;;;;Aso;Kyushu-Japan;Japan;32.88;131.1;1592;Caldera;Historical;D1;2;T;;3;;;;;;;;;;3;;;;;;;;
245;1827;6;27;TSU;EQ;Avachinsky;Kamchatka;Russia;53.255;158.83;2741;Stratovolcano;Historical;D1;2;;;;;;;;;;;;;;;;;;;;;
246;1827;8;9;;;Avachinsky;Kamchatka;Russia;53.255;158.83;2741;Stratovolcano;Historical;D1;2;;;;;;;;;;;;;;;;;;;;;
247;1829;;;;;Guntur;Java;Indonesia;-7.13;107.83;2249;Complex volcano;Historical;D3;2;;;3;;;;;;;;;;3;;;;;;;;
248;1832;11;1;;;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;D1;2;L;;2;;;;;;;;;;2;;;;;;;;
249;1832;12;25;;;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;D1;3;;32;1;;;;;;;;2;32;1;;;;;;;;2
250;1833;11;24;;;Kaba;Sumatra;Indonesia;-3.52;102.62;1952;Stratovolcano;Historical;D2;2;M;126;3;;;;;;;;;126;3;;;;;;;;
251;1835;1;20;;;Cosiguina;Nicaragua;Nicaragua;12.98;-87.57;872;Stratovolcano;Historical;D3;5;G,I;;1;;;;;;;;;;1;;;;;;;;
252;1835;11;1;;;Banda Api;Banda Sea;Pacific Ocean;-4.525;129.871;640;Caldera;Historical;D1;;;;3;;;;;;2;;2;;3;;;;;;2;;2
253;1837;9;;TSU;EQ;Peuet Sague;Sumatra;Indonesia;4.914;96.329;2801;Complex volcano;Historical;D1;;;;;;;;;;;;;;;;;;;;;;
254;1838;2;26;;;Gamalama;Halmahera-Indonesia;Indonesia;0.8;127.325;1715;Stratovolcano;Historical;D1;2;T;4;1;;;;;;;;;4;1;;;;;;;;
255;1839;2;12;TSU;;Unnamed;Chile-Is;Chile;-33.62;-76.83;-642;Submarine volcano;Uncertain;Unknown;2;;;;;;;;;;;;;;;;;;;;;
256;1840;2;2;TSU;EQ;Gamalama;Halmahera-Indonesia;Indonesia;0.8;127.325;1715;Stratovolcano;Historical;D1;2;;;;;;;;;;;;;;;;;;;;;
257;1840;5;30;TSU;;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield volcano;Historical;D1;0;;;;;;;;;1;;;;;;;;;;1;;
258;1840;7;2;;;Ararat;Turkey;Turkey;39.7;44.28;5165;Stratovolcano;Holocene;U;3;P;1900;4;;;;;;;;;1900;4;;;;;;;;
259;1840;;;;;Tinakula;Santa Cruz Is-SW Pac;Solomon Is.;-10.38;165.8;851;Stratovolcano;Historical;D1;3;P;;3;;;;;;;;;;3;;;;;;;;
260;1840;;;;;Savo;Solomon Is-SW Pacifi;Solomon Is.;-9.13;159.82;510;Stratovolcano;Historical;D3;3;P;;3;;;;;;;;;;3;;;;;;;;
261;1841;4;;;;Kuchinoerabu-jima;Ryukyu Is;Japan;30.43;130.22;649;Stratovolcano;Historical;D1;2;T;;;;;;;;2;;2;;;;;;;;2;;2
262;1843;2;8;TSU;;Liamuiga;W Indies;St. Kitts & Nevis;17.37;-62.8;1156;Stratovolcano;Radiocarbon;D6;0;;;;;;;;;;;;;;;;;;;;;
263;1843;2;17;TSU;;Soufriere Guadeloupe;W Indies;Guadeloupe;16.05;-61.67;1467;Stratovolcano;Historical;D1;;;;;;;;;;;;;;;;;;;;;;
264;1843;8;;;;Lamongan;Java;Indonesia;-8;113.342;1651;Stratovolcano;Historical;D3;2;;4;1;;;;;;;;;4;1;;;;;;;;
265;1843;11;17;;;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;D1;2;L;56;2;;;;2;;;;;56;2;;;;2;;;;
266;1845;2;8;TSU;EQ;Soputan;Sulawesi-Indonesia;Indonesia;1.108;124.725;1784;Stratovolcano;Historical;D1;2;;;;;;;;;;;;118;3;;;;;;2;;3
267;1845;2;19;;;Ruiz;Colombia;Colombia;4.895;-75.322;5321;Stratovolcano;Historical;D1;3;M;1000;3;;;;;;;;;1000;3;;;;;;;;
268;1845;9;2;;;Hekla;Iceland-S;Iceland;63.98;-19.7;1491;Stratovolcano;Historical;D1;4;;;;;;;;;1;;;;;;;;;;1;;
269;1846;5;7;;;Taupo;New Zealand;New Zealand;-38.82;176;760;Caldera;Radiocarbon;D6;;m;63;2;;;;;;;;;63;2;;;;;;;;
270;1846;5;27;;;Tangkubanparahu;Java;Indonesia;-6.77;107.6;2084;Stratovolcano;Historical;D1;2;;;1;;;;;;;;;;1;;;;;;;;
271;1846;11;18;;;E-san;Hokkaido-Japan;Japan;41.8;141.17;618;Stratovolcano;Historical;D3;1;M;;3;;;;;;;;;;3;;;;;;;;
272;1847;4;9;;;Fogo;Cape Verde Is;Cape Verde;14.95;-24.35;2829;Stratovolcano;Historical;D1;2;S;;1;;;;;;;;;;1;;;;;;;;
273;1847;12;4;;;Dieng Volc Complex;Java;Indonesia;-7.2;109.92;2565;Complex volcano;Historical;D1;2;;;2;;;;;;;;;;2;;;;;;;;
274;1848;5;16;;;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;D1;2;M;21;1;;;;;;;800;3;21;1;;;;;;;800;3
275;1850;;;;;Rabaul;New Britain-SW Pac;Papua New Guinea;-4.271;152.203;688;Pyroclastic shield;Historical;D1;2;T;;3;;;;;;;;;;3;;;;;;;;
276;1853;6;24;;;Niuafo'ou;Tonga-SW Pacific;Tonga;-15.6;-175.63;260;Shield volcano;Historical;D1;0;L;25;1;;;;;;;;;25;1;;;;;;;;
277;1853;7;13;;;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;D1;3;P;34;1;;;;;;;;1;34;1;;;;;;;;1
278;1853;10;29;TSU;;Unnamed;Taiwan-E of;Taiwan;24;121.83;0;Submarine volcano;Historical;D3;2;;;;;;;;;;;;;;;;;;;;;
279;1854;2;18;;;Shiveluch;Kamchatka;Russia;56.653;161.36;3283;Stratovolcano;Historical;D1;5;;;;;;;;;1;;;;;;;;;;1;;
280;1854;2;;;;Aso;Kyushu-Japan;Japan;32.88;131.1;1592;Caldera;Historical;D1;2;;3;1;;;;;;;;;3;1;;;;;;;;
281;1854;6;27;TSU;;Alaid;Kuril Is;Russia;50.858;155.55;2339;Stratovolcano;Historical;D1;3;;;;;;;;;;;;;;;;;;;;;
282;1856;3;2;TSU;;Awu;Sangihe Is-Indonesia;Indonesia;3.67;125.5;1320;Stratovolcano;Historical;D1;3;P;2806;4;;;;2;;3;;3;2806;4;;;;2;;3;;3
283;1856;7;26;TSU;;Shishaldin;Aleutian Is;United States;54.75;-163.97;2857;Stratovolcano;Historical;D1;;;;;;;;;;;;;;;;;;;;;;
284;1856;9;25;;;Komaga-take;Hokkaido-Japan;Japan;42.07;140.68;1140;Stratovolcano;Historical;D1;4;P;20;1;;;;;;;;3;20;1;;;;;;;;3
285;1857;4;17;TSU;EQ;Umboi;New Guinea-NE of;Papua New Guinea;-5.589;147.875;1548;Complex volcano;Holocene;U;;;;;;;;;;;;;;;;;;;;;;
286;1858;1;;;;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;D1;2;P;;1;;;;;;;;;;1;;;;;;;;
287;1858;4;23;;;Tate-yama;Honshu-Japan;Japan;36.57;137.6;2621;Stratovolcano;Historical;D3;;m;;3;;;;;;;;;;3;;;;;;;;
288;1858;7;3;;;Tate-yama;Honshu-Japan;Japan;36.57;137.6;2621;Stratovolcano;Historical;D3;;m;;3;;;;;;;;;;3;;;;;;;;
289;1860;4;;;;Semeru;Java;Indonesia;-8.108;112.92;3676;Stratovolcano;Historical;D1;2;;;;;;;;;1;;;;;;;;;;;;1
290;1860;8;18;;;Fuego;Guatemala;Guatemala;14.473;-90.88;3763;Stratovolcano;Historical;D1;2;;;;;;;;;1;;;;;;;;;;1;;
291;1860;;;;;Grimsvotn;Iceland-NE;Iceland;64.42;-17.33;1725;Caldera;Historical;D1;;m;1;1;;;;;;;;;1;1;;;;;;;;
292;1861;5;7;;;Dubbi;Africa-NE;Eritrea;13.58;41.808;1625;Stratovolcano;Historical;D3;3;;106;3;;;;;;3;;3;106;3;;;;;;3;;3
293;1861;5;;;;Grimsvotn;Iceland-NE;Iceland;64.42;-17.33;1725;Caldera;Historical;D1;2;;;;;;;;;1;;;;;;;;;;1;;
294;1861;12;29;;;Makian;Halmahera-Indonesia;Indonesia;0.32;127.4;1357;Stratovolcano;Historical;D1;4;P,I;326;3;;;47;1;;;;3;326;3;;;47;1;;;;3
295;1863;8;17;TSU;EQ;Yasur;Vanuatu-SW Pacific;Vanuatu;-19.52;169.425;361;Stratovolcano;Historical;D1;;;;3;;;;;;;;;;3;;;;;;;;
296;1864;1;3;;;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;D1;2;M;54;2;;;;;;;;3;54;2;;;;;;;;3
297;1866;2;20;;;Santorini;Greece;Greece;36.404;25.396;329;Shield volcano;Historical;D2;2;T;1;1;;;;1;;;;;1;1;;;;1;;;;
298;1866;9;12;TSU;;Ofu-Olosega;Samoa-SW Pacific;United States;-14.175;-169.618;639;Shield volcano;Historical;D3;2;;;;;;;;;;;;;;;;;;;;;
299;1867;10;21;;;Zao;Honshu-Japan;Japan;38.15;140.45;1841;Complex volcano;Historical;D2;2;M;3;1;;;;;;;;;3;1;;;;;;;;
300;1868;4;3;TSU;EQ;Mauna Loa;Hawaiian Is;United States;19.475;-155.608;4170;Shield volcano;Historical;D1;2;W,M;;;;;;;;1;37;1;77;2;;;;;;2;;3
301;1868;9;5;TSU;EQ;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;D1;;;;;;;;;;;;;;;;;;;;;;
302;1869;7;7;;;Lewotobi;Lesser Sunda Is;Indonesia;-8.53;122.775;1703;Stratovolcano;Historical;D1;2;;2;1;;;;;;;;;2;1;;;;;;;;
303;1869;8;;;;Lamongan;Java;Indonesia;-8;113.342;1651;Stratovolcano;Historical;D3;2;T,A;8;1;;;;;;;;;8;1;;;;;;;;
304;1870;8;;;;Ruang;Sangihe Is-Indonesia;Indonesia;2.28;125.425;725;Stratovolcano;Historical;D2;2;;;1;;;;;;;40;1;;1;;;;;;;40;1
305;1870;;;;;Iliwerung;Lesser Sunda Is;Indonesia;-8.54;123.59;1018;Complex volcano;Historical;D1;3;;;1;;;;;;;;;;1;;;;;;;;
306;1870;;;;;Aoba;Vanuatu-SW Pacific;Vanuatu;-15.4;167.83;1496;Shield volcano;Historical;D1;2;M;;3;;;;;;3;;3;;3;;;;;;3;;3
307;1871;3;3;TSU;;Ruang;Sangihe Is-Indonesia;Indonesia;2.28;125.425;725;Stratovolcano;Historical;D2;2;W;;;;;;;;1;;1;400;3;;;;;;2;75;2
308;1871;4;30;TSU;EQ;Camiguin;Mindanao-Philippines;Philippines;9.203;124.673;1332;Stratovolcano;Historical;D2;2;;;1;;;;;;3;;3;;1;;;;;;3;;3
309;1871;8;7;;;Gamalama;Halmahera-Indonesia;Indonesia;0.8;127.325;1715;Stratovolcano;Historical;D1;2;T;1;1;;;1;1;;;;;1;1;;;1;1;;;;
310;1871;12;8;;;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;D1;3;P;3;1;;;;;;;;;3;1;;;;;;;;
311;1872;4;15;;;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;D1;4;T;30;1;;;;1;;;50;1;30;1;;;;1;;;50;1
312;1872;4;17;;;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;D1;4;P;170;3;;;;;;;;2;170;3;;;;;;;;2
313;1872;4;24;;;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;Historical;D2;3;L,G;9;1;;;11;1;;;;;9;1;;;11;1;;;;
314;1872;11;3;;;Merapi;Java;Indonesia;-7.542;110.442;2947;Stratovolcano;Historical;D1;4;P,T;200;3;;;;;;3;;3;200;3;;;;;;3;;3
315;1872;12;;;;Aso;Kyushu-Japan;Japan;32.88;131.1;1592;Caldera;Historical;D1;3;T;4;1;;;;;;;;;4;1;;;;;;;;
316;1872;;;;;Sinarka;Kuril Is;Russia;48.875;154.175;934;Stratovolcano;Historical;D3;4;P;;3;;;;;;;;;;3;;;;;;;;
317;1873;1;16;;;Ragang;Mindanao-Philippines;Philippines;7.67;124.5;2815;Stratovolcano;Historical;D2;2;;;1;;;;;;;;;;1;;;;;;;;
318;1873;;;;;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex volcano;Historical;D2;;G,T;9;1;;;;;;;;;9;1;;;;;;;;
319;1874;7;3;;;Miyake-jima;Izu Is-Japan;Japan;34.08;139.53;815;Stratovolcano;Historical;D1;3;T;1;1;;;;;;;;;1;1;;;;;;;;
320;1874;7;19;;;Taal;Luzon-Philippines;Philippines;14.002;120.993;400;Stratovolcano;Historical;D1;2;;;1;;;;;;;;;;1;;;;;;;;
321;1875;1;29;;;Kelut;Java;Indonesia;-7.93;112.308;1731;Stratovolcano;Historical;D1;0;m;;1;;;;;;2;;2;;1;;;;;;2;;2
322;1875;3;29;;;Askja;Iceland-NE;Iceland;65.03;-16.75;1516;Stratovolcano;Historical;D2;5;;;;;;;;;1;;;;;;;;;;1;;
323;1875;;;;;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;D1;;m;1500;4;;;;;;;;;1500;4;;;;;;;;
324;1877;2;14;TSU;EQ;Mauna Loa;Hawaiian Is;United States;19.475;-155.608;4170;Shield volcano;Historical;D1;0;;;;;;;;;;;;;;;;;;;;;
325;1877;6;25;;;Cotopaxi;Ecuador;Ecuador;-0.677;-78.436;5911;Stratovolcano;Historical;D2;4;M;340;3;;;;;;;;;340;3;;;;;;;;
